datetime,portfolio_value,cash,return
2024-05-01 09:30:00-04:00,100000.0,100000.0,
2024-05-02 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-03 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-04 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-06 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-07 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-08 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-09 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-10 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-11 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-13 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-14 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-15 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-16 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-17 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-18 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-20 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-21 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-22 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-23 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-24 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-25 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-28 09:30:00-04:00,100000.0,100000.0,0.0
2024-05-29 09:30:00-04:00,100000.0,100000.0,0.0
